   GoodVibes v3.0.1 2023/07/26 15:37:14
   REF: Luchini, G.; Alegre-Requena J. V.; Guan, Y.; Funes-Ardoiz, I.; Paton, R. S. (2019).
        GoodVibes: GoodVibes 3.0.1 http://doi.org/10.5281/zenodo.595246
   Requested: -c 1 -t 298.15 --spc SPE --csv --output dft_dist_gs 

   Temperature = 298.15 Kelvin   Concentration = 1.0 mol/l
   All energetic values below shown in Hartree unless otherwise specified.

o  Found vibrational scaling factor of 0.975 for wB97XD/def2TZVP level of theory
   REF: I. M. Alecu, J. Zheng, Y. Zhao, and D. G. Truhlar, J. Chem. Theory Comput. 6, 2872-2887 (2010).

   Entropic quasi-harmonic treatment: frequency cut-off value of 100.0 wavenumbers will be applied.
   QS = Grimme: Using a mixture of RRHO and Free-rotor vibrational entropies.
   REF: Grimme, S. Chem. Eur. J. 2012, 18, 9955-9964


   Structure,E_SPC,E,ZPE,H_SPC,T.S,T.qh-S,G(T)_SPC,qh-G(T)_SPC,
o  ts-15-1_reactant_2,-244.504244,-244.446637,0.035745,-244.463790,0.027468,0.027470,-244.491259,-244.491260,
o  ts-152-4_reactant_1,-924.382371,-924.376885,0.326435,-924.035381,0.068101,0.063671,-924.103482,-924.099052,
o  ts-152-4_reactant_2,-244.504153,-244.446412,0.035842,-244.463615,0.027445,0.027446,-244.491060,-244.491061,
o  ts-153-2_reactant_1,-501.601545,-501.597872,0.195182,-501.394762,0.044790,0.044277,-501.439553,-501.439040,
o  ts-153-2_reactant_2,-244.502378,-244.445014,0.035858,-244.461831,0.027431,0.027433,-244.489262,-244.489264,
o  ts-154-1_reactant_1,-462.278458,-462.274824,0.168037,-462.099491,0.044329,0.043129,-462.143820,-462.142620,
o  ts-154-1_reactant_2,-244.502902,-244.445471,0.035855,-244.462353,0.027439,0.027440,-244.489792,-244.489793,
o  ts-155-4_reactant_1,-517.650806,-517.645372,0.185554,-517.454324,0.042981,0.042792,-517.497305,-517.497116,
o  ts-155-4_reactant_2,-244.500664,-244.443547,0.035883,-244.460116,0.027395,0.027397,-244.487511,-244.487512,
o  ts-156-3_reactant_1,-556.957895,-556.952820,0.213043,-556.732384,0.046499,0.046118,-556.778883,-556.778502,
o  ts-156-3_reactant_2,-244.500086,-244.443028,0.035885,-244.459538,0.027394,0.027395,-244.486932,-244.486934,
o  ts-157-3_reactant_1,-748.708961,-748.703649,0.265103,-748.427372,0.057663,0.055001,-748.485035,-748.482373,
o  ts-157-3_reactant_2,-244.500717,-244.443542,0.035867,-244.460172,0.027416,0.027417,-244.487588,-244.487589,
o  ts-158-2_reactant_1,-596.274219,-596.269762,0.240475,-596.018841,0.052990,0.051250,-596.071831,-596.070090,
o  ts-158-2_reactant_2,-244.500745,-244.443598,0.035873,-244.460198,0.027410,0.027411,-244.487608,-244.487609,
o  ts-159-2_reactant_1,-576.843404,-576.840146,0.201068,-576.629086,0.050025,0.048330,-576.679111,-576.677417,
o  ts-159-2_reactant_2,-244.502307,-244.444982,0.035863,-244.461758,0.027428,0.027429,-244.489186,-244.489188,
o  ts-160-3_reactant_1,-693.335103,-693.330863,0.248264,-693.071510,0.054760,0.052549,-693.126271,-693.124060,
o  ts-160-3_reactant_2,-244.502057,-244.444717,0.035890,-244.461480,0.027427,0.027428,-244.488907,-244.488909,
o  ts-161-1_reactant_1,-309.877676,-309.874478,0.142849,-309.725448,0.038681,0.038568,-309.764129,-309.764015,
o  ts-161-1_reactant_2,-244.502963,-244.445600,0.035786,-244.462488,0.027436,0.027437,-244.489924,-244.489925,
o  ts-162-1_reactant_1,-270.554701,-270.551314,0.114921,-270.431641,0.035976,0.035826,-270.467617,-270.467467,
o  ts-162-1_reactant_2,-244.502825,-244.445493,0.035846,-244.462306,0.027409,0.027410,-244.489714,-244.489716,
o  ts-16-2_reactant_1,-961.212726,-961.208062,0.185935,-961.012923,0.051954,0.049864,-961.064877,-961.062787,
o  ts-16-2_reactant_2,-244.503636,-244.446154,0.035775,-244.463154,0.027464,0.027465,-244.490618,-244.490619,
o  ts-163-1_reactant_1,-325.937538,-325.932926,0.132513,-325.796006,0.037799,0.037736,-325.833805,-325.833742,
o  ts-163-1_reactant_2,-244.501260,-244.444096,0.035789,-244.460798,0.027411,0.027412,-244.488209,-244.488210,
o  ts-164-2_reactant_1,-365.243868,-365.239767,0.159919,-365.073323,0.041631,0.041492,-365.114954,-365.114815,
o  ts-164-2_reactant_2,-244.500830,-244.443702,0.035777,-244.460382,0.027410,0.027411,-244.487792,-244.487793,
o  ts-165-2_reactant_1,-556.983182,-556.978883,0.212131,-556.757534,0.049544,0.048381,-556.807079,-556.805916,
o  ts-165-2_reactant_2,-244.501241,-244.444021,0.035800,-244.460766,0.027415,0.027416,-244.488180,-244.488181,
o  ts-166-2_reactant_1,-404.549940,-404.546469,0.187929,-404.350245,0.044239,0.043836,-404.394484,-404.394081,
o  ts-166-2_reactant_2,-244.503236,-244.445837,0.035776,-244.462769,0.027437,0.027439,-244.490207,-244.490208,
o  ts-167-1_reactant_1,-385.120190,-385.117448,0.148035,-384.961639,0.041852,0.041507,-385.003491,-385.003145,
o  ts-167-1_reactant_2,-244.503766,-244.446259,0.035760,-244.463304,0.027457,0.027458,-244.490761,-244.490763,
o  ts-168-2_reactant_1,-501.607433,-501.603549,0.194944,-501.399893,0.047367,0.046388,-501.447260,-501.446282,
o  ts-168-2_reactant_2,-244.503849,-244.446252,0.035807,-244.463352,0.027437,0.027438,-244.490789,-244.490790,
o  ts-169-1_reactant_1,-730.176252,-730.173485,0.106031,-730.060907,0.040032,0.039223,-730.100939,-730.100129,
o  ts-169-1_reactant_2,-244.505200,-244.447358,0.035705,-244.464763,0.027512,0.027513,-244.492275,-244.492276,
o  ts-170-2_reactant_1,-690.848626,-690.845919,0.078574,-690.762283,0.036020,0.035918,-690.798303,-690.798201,
o  ts-170-2_reactant_2,-244.504620,-244.446920,0.035780,-244.464128,0.027474,0.027476,-244.491602,-244.491603,
o  ts-171-1_reactant_1,-746.242069,-746.237852,0.096155,-746.136989,0.039011,0.038352,-746.176000,-746.175340,
o  ts-171-1_reactant_2,-244.504366,-244.446728,0.035747,-244.463909,0.027472,0.027473,-244.491381,-244.491382,
o  ts-17-1_reactant_1,-2883.490358,-2883.487850,0.133017,-2883.346480,0.043872,0.043202,-2883.390352,-2883.389681,
o  ts-17-1_reactant_2,-244.504530,-244.446873,0.035739,-244.464077,0.027478,0.027479,-244.491555,-244.491556,
o  ts-172-2_reactant_1,-785.550162,-785.546520,0.123894,-785.415756,0.042830,0.042022,-785.458586,-785.457777,
o  ts-172-2_reactant_2,-244.504198,-244.446598,0.035752,-244.463740,0.027465,0.027467,-244.491205,-244.491206,
o  ts-173-2_reactant_1,-977.289610,-977.285970,0.176034,-977.100187,0.050633,0.048722,-977.150820,-977.148908,
o  ts-173-2_reactant_2,-244.504853,-244.447098,0.035732,-244.464400,0.027491,0.027493,-244.491891,-244.491892,
o  ts-174-1_reactant_1,-824.845584,-824.842393,0.151232,-824.682643,0.045261,0.044433,-824.727904,-824.727076,
o  ts-174-1_reactant_2,-244.503629,-244.446161,0.035774,-244.463158,0.027448,0.027449,-244.490606,-244.490607,
