   GoodVibes v3.0.1 2023/07/26 15:58:11
   REF: Luchini, G.; Alegre-Requena J. V.; Guan, Y.; Funes-Ardoiz, I.; Paton, R. S. (2019).
        GoodVibes: GoodVibes 3.0.1 http://doi.org/10.5281/zenodo.595246
   Requested: -c 1 -t 298.15 --spc SPE --csv --output am1_ts 

   Temperature = 298.15 Kelvin   Concentration = 1.0 mol/l
   All energetic values below shown in Hartree unless otherwise specified.
   Using vibrational scale factor 1.0 for AM1/ZDO level of theory

   Entropic quasi-harmonic treatment: frequency cut-off value of 100.0 wavenumbers will be applied.
   QS = Grimme: Using a mixture of RRHO and Free-rotor vibrational entropies.
   REF: Grimme, S. Chem. Eur. J. 2012, 18, 9955-9964


   Structure,E_SPC,E,ZPE,H_SPC,T.S,T.qh-S,G(T)_SPC,qh-G(T)_SPC,
o  ts-281-1,-0.136768,-0.089541,0.141320,0.019315,0.055521,0.052786,-0.036206,-0.033471,
o  ts-282-2,-0.138940,-0.086228,0.112835,-0.012479,0.053420,0.050826,-0.065900,-0.063305,
o  ts-28-2,-0.105328,-0.061227,0.291009,0.204513,0.062661,0.059895,0.141852,0.144618,
o  ts-283-1,-0.144839,-0.097951,0.131452,0.000738,0.052931,0.051158,-0.052193,-0.050420,
o  ts-284-2,-0.138761,-0.091955,0.158852,0.036056,0.057823,0.055261,-0.021767,-0.019205,
o  ts-285-1,-0.091298,-0.047218,0.214660,0.142158,0.065804,0.061633,0.076354,0.080525,
o  ts-286-2,-0.123706,-0.076844,0.186653,0.080296,0.060655,0.058003,0.019640,0.022293,
o  ts-287-2,-0.217112,-0.161688,0.146551,-0.054424,0.059457,0.056079,-0.113881,-0.110503,
o  ts-288-1,-0.083305,-0.036825,0.197327,0.131338,0.060855,0.058189,0.070483,0.073150,
o  ts-289-2,-0.141147,-0.091003,0.103752,-0.022805,0.056034,0.053022,-0.078839,-0.075828,
o  ts-290-1,-0.136370,-0.086612,0.075812,-0.047685,0.051300,0.049281,-0.098984,-0.096965,
o  ts-291-1,-0.145463,-0.095590,0.093386,-0.037835,0.055164,0.052259,-0.093000,-0.090094,
o  ts-292-1,-0.139423,-0.090035,0.121187,-0.002356,0.059100,0.055691,-0.061456,-0.058047,
